comparison,family,region,bin,n,base_mean,other_mean,delta,ci_lo,ci_hi,effect_size,p_raw,q_pooled,q_perrq
RQ7 (random-init BERT),RQ7,TC,small,27,0.019182928141719627,0.03334513318784537,0.014162205046125743,0.0074342745858798345,0.02320377355752652,1.0,1.4901161193847656e-08,1.9600758185753455e-07,5.364418029785156e-07
RQ7 (random-init BERT),RQ7,TC,medium,23,0.05895893056056275,0.09466124441600074,0.03570231385543799,0.02469628689131827,0.0472030516456035,0.9782608695652174,1.1920928955078125e-06,3.7749608357747393e-06,6.130763462611607e-06
RQ7 (random-init BERT),RQ7,TC,large,23,0.1755513767356842,0.24338059714515045,0.06782922040946626,0.05408977697054033,0.08244574681812393,1.0,2.384185791015625e-07,1.2740492820739746e-06,2.86102294921875e-06
RQ7 (random-init BERT),RQ7,WT,small,32,0.05682907016139984,0.06734902187580732,0.010519951714407484,0.007407673450563443,0.01400082822232497,1.0,1.1741945398998534e-06,3.7749608357747393e-06,6.130763462611607e-06
RQ7 (random-init BERT),RQ7,WT,medium,21,0.13671154759037568,0.1735281456069538,0.036816598016578106,0.022972776224392828,0.052491545178140656,1.0,9.5367431640625e-07,3.261566162109375e-06,6.130763462611607e-06
RQ7 (random-init BERT),RQ7,WT,large,20,0.2808702663321127,0.34206750996990676,0.06119724363779405,0.04113760407774169,0.08581064581862974,1.0,1.9073486328125e-06,5.177089146205357e-06,6.242231889204546e-06
RQ7 (random orthonormal),RQ7,ET,small,21,0.009954052583732463,0.008186418358109796,-0.001767634225622667,-0.002904264772559796,-0.0007222802476858912,-0.6666666666666666,0.008967599455194583,0.012074484305813179,0.012913343215480199
RQ7 (random orthonormal),RQ7,ET,medium,23,0.03742924981534332,0.028666966060972382,-0.008762283754370936,-0.014855843550001333,-0.004397095905654134,-0.8623188405797102,7.319450378417969e-05,0.00012903360976386315,0.00014638900756835938
RQ7 (random orthonormal),RQ7,ET,large,23,0.14884564587032542,0.1243336465731201,-0.024511999297205322,-0.036004886529734555,-0.014583570090658568,-0.927536231884058,1.0251998901367188e-05,2.3066997528076172e-05,2.460479736328125e-05
RQ7 (random orthonormal),RQ7,TC,small,27,0.019182928141719627,0.017232509381910597,-0.0019504187598090306,-0.003657872311012563,-0.0004071992450399383,-0.5066666666666667,0.029898791101543674,0.037048502017130204,0.037115740677778356
RQ7 (random orthonormal),RQ7,TC,medium,23,0.05895893056056275,0.05044689435852853,-0.008512036202034216,-0.011392867470270527,-0.005775299865052338,-0.9057971014492754,2.09808349609375e-05,4.2710985456194195e-05,4.7206878662109375e-05
RQ7 (random orthonormal),RQ7,TC,large,23,0.1755513767356842,0.17266579704942292,-0.0028855796862612693,-0.010416604530064237,0.00514723899806899,-0.17786561264822134,0.4650985871802594,0.47910758077002624,0.4924573276026276
RQ7 (random orthonormal),RQ7,WT,small,32,0.05682907016139984,0.047543724969274476,-0.009285345192125365,-0.012132198396439104,-0.006644166257122721,-0.9475806451612904,4.120932324461698e-06,1.0517603395267915e-05,1.2362796973385095e-05
RQ7 (random orthonormal),RQ7,WT,medium,21,0.13671154759037568,0.1098748813489417,-0.02683666624143398,-0.036307840813248615,-0.01888051470041127,-0.9913419913419913,1.9073486328125e-06,5.177089146205357e-06,6.242231889204546e-06
RQ7 (random orthonormal),RQ7,WT,large,20,0.2808702663321127,0.23112325914103743,-0.049747007191075276,-0.06531343893083041,-0.03358184764431257,-0.9047619047619048,8.20159912109375e-05,0.00014310953568439096,0.00015539872018914474
"RQ7 (random, PubMedBERT geometry)",RQ7,ET,small,21,0.009954052583732463,0.008031157796470881,-0.001922894787261582,-0.003547821923920606,-0.0005208018030950893,-0.6190476190476191,0.015240061183200121,0.019742806532781973,0.021101623176738627
"RQ7 (random, PubMedBERT geometry)",RQ7,ET,medium,23,0.03742924981534332,0.03627499138382097,-0.0011542584315223509,-0.007027566980878054,0.004432099504038051,-0.09090909090909091,0.7088842633568615,0.7130541707883724,0.7088842633568615
"RQ7 (random, PubMedBERT geometry)",RQ7,ET,large,23,0.14884564587032542,0.14636424888768582,-0.0024813969826396054,-0.015653084759402268,0.012809361494759147,-0.22077922077922077,0.37544507472938493,0.3987646445883529,0.42237570907055805
"RQ7 (random, PubMedBERT geometry)",RQ7,TC,small,27,0.019182928141719627,0.02023789721731596,0.001054969075596334,-0.0006767817897882686,0.002909135297345803,0.1111111111111111,0.6204162095825689,0.6314950704679719,0.6381423869992137
"RQ7 (random, PubMedBERT geometry)",RQ7,TC,medium,23,0.05895893056056275,0.06281986682991668,0.0038609362693539304,0.0008226633341660905,0.007050945238679798,0.5362318840579711,0.02332472801208496,0.029327415368136236,0.031099637349446613
"RQ7 (random, PubMedBERT geometry)",RQ7,TC,large,23,0.1755513767356842,0.1954757262776635,0.019924349541979303,0.010044539155484106,0.03014728081940039,0.7681159420289855,0.0006387233734130859,0.0009580850601196289,0.001094954354422433
"RQ7 (random, PubMedBERT geometry)",RQ7,WT,small,32,0.05682907016139984,0.04820787237683281,-0.008621197784567033,-0.011986542353925366,-0.005544956021784866,-0.875,1.4957040548324585e-06,4.650279879570007e-06,6.242231889204546e-06
"RQ7 (random, PubMedBERT geometry)",RQ7,WT,medium,21,0.13671154759037568,0.1118235179523766,-0.024888029637999076,-0.036846636952251724,-0.014422866617011976,-0.8961038961038961,6.67572021484375e-05,0.0001189112663269043,0.00014136819278492648
"RQ7 (random, PubMedBERT geometry)",RQ7,WT,large,20,0.2808702663321127,0.22200375032601558,-0.05886651600609713,-0.07350360373569047,-0.04546204633398997,-1.0,1.9073486328125e-06,5.177089146205357e-06,6.242231889204546e-06
RQ8 (negated text),RQ8,ET,small,21,0.009954052583732463,0.007379488691834509,-0.002574563891897954,-0.005004912378413024,-0.0005477701327480305,-0.5064935064935064,0.042079925537109375,0.04996991157531738,0.04590537331321022
RQ8 (negated text),RQ8,ET,medium,23,0.03742924981534332,0.02488931184548484,-0.01253993796985848,-0.018988519638417186,-0.00690062944748406,-0.8188405797101449,0.0002148151397705078,0.000340123971303304,0.00026666707005994076
RQ8 (negated text),RQ8,ET,large,23,0.14884564587032542,0.10640814112219094,-0.042437504748134486,-0.07474949762649834,-0.017422110645006858,-0.7681159420289855,0.0006387233734130859,0.0009580850601196289,0.0007664680480957031
RQ8 (negated text),RQ8,TC,small,27,0.019182928141719627,0.01576943957260664,-0.0034134885691129886,-0.005709700184140127,-0.001604399558339602,-0.7883597883597884,0.0001253187656402588,0.00021216012899158068,0.00016709168752034503
RQ8 (negated text),RQ8,TC,medium,23,0.05895893056056275,0.04939065856639653,-0.009568271994166218,-0.012997081505935258,-0.0063479590700446075,-0.9130434782608695,1.6689300537109375e-05,3.612494166893295e-05,3.0040740966796875e-05
RQ8 (negated text),RQ8,TC,large,23,0.1755513767356842,0.14445367901208367,-0.03109769772360052,-0.045349923496759106,-0.019093930004263217,-0.9782608695652174,1.1920928955078125e-06,3.7749608357747393e-06,2.682209014892578e-06
